Game Count,1
Score,118
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,2
Score,11
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,3
Score,13
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,4
Score,46
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,5
Score,17
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,6
Score,37
Activated (times),0
Total Smile Time, 0
----------------------------------
